FID,OID_,Name,FolderPath,Longitude,Latitude,Region,Country,Geomorphic,Proxies,Year,Cite,Authors,Paper_Othe,OBJECTID
0,0,Ramírez-Herrera 2011,Tropic.kmz/Lugares temporales/Mexico,-100.362666666999999,17.062966667000001,Tropical Eastern Pacific (TEP),Mexico,"Wetlands, Coastal lagoons, Marshes and Beach ridges (Swales)","Geochemical, foraminifera, ostracods, diatoms, spicules, stratigraphy.",2011.000000000000000,"(Ramírez-Herrera, 2011)","Ramírez-Herrera, M.T.",Evidencias ambientales de cambios de nivel de la costa del Pacífico de México: Terremotos y tsunamis1.,0
1,0,Ramírez-Herrera 2007,Tropic.kmz/Lugares temporales/Mexico,-100.366650000000007,17.047183333000000,Tropical Eastern Pacific (TEP),Mexico,Wetlands,"Geochemical, Foraminifera, Ostracods, Diatoms and Spicules, Grain size, Stratigraphy",2007.000000000000000,"(Ramirez-Herrera et al., 2007)","Ramirez-Herrera, M.T., Cundy, A., Kostoglodov, V., Carranza-Edwards, A., Morales, E., Metcalfe, S","Sedimentary record of late-Holocene relative sea-level change and tectonic deformation from the Guerrero Seismic Gap, Mexican Pacific Coast.",0
2,0,Ramírez-Herrera 2009,Tropic.kmz/Lugares temporales/Mexico,-100.361216666999994,17.075433332999999,Tropical Eastern Pacific (TEP),Mexico,"Coastal Laggon, Marshes
","Geochemistry, foraminifera, ostracods, and diatoms. Pollen (Paleoenvironments), phytolith and carbon content. Stratigraphy",2009.000000000000000,"(Ramírez-Herrera et al., 2009)","Ramírez-Herrera, M.T., Cundy, A.B., Kostoglodov, V., Ortiz, M.","Late Holocene tectonic land-level changes and tsunamis at Mitla lagoon, Guerrero, Mexico",0
3,0,Ramírez-Herrera 2012,Tropic.kmz/Lugares temporales/Mexico,-101.646283333000000,17.697649999999999,Tropical Eastern Pacific (TEP),Mexico,Estuary,"Grain size, foraminifera, diatoms, geochemistry, magnetic susceptibility, stratigraphy",2012.000000000000000,"(Ramírez-Herrera et al., 2012)","Ramírez-Herrera, M.T., Lagos, M., Hutchinson, I., Kostoglodov, V., Machain, M.L., Caballero, M., Goguitchaichvili, A., Aguilar, B., Chagué-Goff, C., Goff, J., Ruiz-Fernández, A.C., Ortiz, M., Nava, H., Bautista, F., Lopez, G.I., Quintana, P.",Extreme wave deposits on the Pacific coast of Mexico: Tsunamis or storms? - A multi-proxy approach.,0
4,0,Castillo-Aja 2019,Tropic.kmz/Lugares temporales/Mexico,-105.021388888999994,19.429722221999999,Tropical Eastern Pacific (TEP),Mexico,Coastal lagoon,"Grain size, foraminifera, ostracods, diatoms, stratigraphy",2019.000000000000000,"(Castillo-Aja et al., 2019)","Castillo-Aja, R., Ramírez-Herrera, M.T., Machain-Castillo, M.L., Goguitchaichvili, A., Cejudo, R.","Sedimentary and microfossil imprint from historical earthquakes and tsunamis, Jalisco coast, Mexican subduction",0
5,0,Ramírez-Herrera 2013,Tropic.kmz/Lugares temporales/Mexico,-104.051633953000007,18.918938631000000,Tropical Eastern Pacific (TEP),Mexico,Estuary,"Magnetic properties, Magnetic Susceptibility
(MS) and Anisotropy of Magnetic Susceptibility (AMS)
",2013.000000000000000,"(Ramírez-herrera et al., 2013)","Ramírez-herrera, M.T., Černý, J., Gogichaishvili, A., Aguilar, B., Corona, N.","Rock-Magnetic Properties and Anisotropy of Magnetic Susceptibility - Supplementary Proxies in Tsunami Deposits Identification : the 22 June 1932 Event , Pacific Coast of Mexico",0
6,0,Cerny 2016,Tropic.kmz/Lugares temporales/Mexico,-105.020827694999994,19.428392681999998,Tropical Eastern Pacific (TEP),Mexico,Coastal lagoon,"Magnetic susceptibility, radiometric, stratigraphy.",2016.000000000000000,"(Černý et al., 2016)","Černý, J., Ramírez-Herrera, M.T., Bógalo, M.F., Goguitchaichvili, A., Castillo-Aja, R., Morales, J., Sanchez-Cabeza, J.A., Ruiz-Fernández, A.C","Magnetic record of extreme marine inundation events at Las Salinas site, Jalisco, Mexican Pacific coast",0
7,0,Ramírez-Herrera 2014,Tropic.kmz/Lugares temporales/Mexico,-104.046663858000002,18.926257068000002,Tropical Eastern Pacific (TEP),Mexico,"Marshes, Estuary, Back-Barrier, Beach Ridges (Swales)","Historical/ethnographic documents, geomorphological,
stratigraphic, grain size, loss on ignition, diatom (Few), foraminifera (There was not),
ostracods (There was not), geochemistry, magnetic susceptibility,
Anisotropy Magnetic Susceptibility",2014.000000000000000,"(Ramírez-Herrera et al., 2014)","Ramírez-Herrera, M.T., Corona, N., Lagos, M., Černý, J., Goguitchaichvili, A., Goff, J., Chagué-Goff, C., Machain, M.L., Zawadzki, A., Jacobsen, G., Carranza-Edwards, A., Lozano, S., Blecher, L.",Unearthing earthquakes and their tsunamis using multiple proxies: The 22 June 1932 event and a probable fourteenth-century predecessor on the Pacific coast of Mexico,0
8,0,Goguitchaichvi 2013,Tropic.kmz/Lugares temporales/Mexico,-101.646820433000002,17.697372655999999,Tropical Eastern Pacific (TEP),Mexico,Estuary,Rock magnetic and Anisotropy of Magnetic Susceptibility (AMS),2013.000000000000000,"(Goguitchaichvili et al., 2013)","Goguitchaichvili, A., Ramírez-Herrera, M.T., Calvo-Rathert, M., Aguilar Reyes, B., Carrancho, Á., Caballero, C., Bautista, F., Contreras, J.M.","Magnetic fingerprint of tsunami-induced deposits in the Ixtapa-Zihuatanejo Area, Western Mexico",0
9,0,Ramírez-Herrera 2020,Tropic.kmz/Lugares temporales/Mexico,-98.225183131999998,16.248993322000000,Tropical Eastern Pacific (TEP),Mexico,Beach Ridges (Swales),"Historical documents, stratigraphy, diatoms, dinoflagellates, foraminifera, geochemistry, grain size",2020.000000000000000,"(Ramírez-Herrera et al., 2020)","Ramírez-Herrera, M.T., Corona, N., Cerny, J., Castillo-Aja, R., Melgar, D., Lagos, M., Goguitchaichvili, A., Machain, M.L., Vazquez-Caamal, M.L., Ortuño, M., Caballero, M., Solano-Hernandez, E.A., Ruiz-Fernández, A.C.",Sand deposits reveal great earthquakes and tsunamis at Mexican Pacific Coast,0
10,0,Ramírez-Herrera 2016,Tropic.kmz/Lugares temporales/Mexico,-104.802234690000006,19.302532093000000,Tropical Eastern Pacific (TEP),Mexico,Coastal Plain,"Anisotropy of Magnetic Susceptibility (AMS), Foraminifera, Grain Size, Stratigraphy, Magnetic properties.",2016.000000000000000,"(Ramírez-Herrera et al., 2016)","Ramírez-Herrera, M.T., Bógalo, M.F., Černý, J., Goguitchaichvili, A., Corona, N., Machain, M.L., Edwards, A.C., Sosa, S.","Historic and ancient tsunamis uncovered on the Jalisco-Colima Pacific coast, the Mexican subduction zone",0
11,0,Ramírez-Herrera 2016,Tropic.kmz/Lugares temporales/Mexico,-104.879072484000005,19.285727635000001,Tropical Eastern Pacific (TEP),Mexico,Estuary,"Anisotropy of Magnetic Susceptibility (AMS), Foraminifera, Grain Size, Stratigraphy, Magnetic properties.",2016.000000000000000,"(Ramírez-Herrera et al., 2016)","Ramírez-Herrera, M.T., Bógalo, M.F., Černý, J., Goguitchaichvili, A., Corona, N., Machain, M.L., Edwards, A.C., Sosa, S.","Historic and ancient tsunamis uncovered on the Jalisco-Colima Pacific coast, the Mexican subduction zone",0
12,0,Bógalo 2017,Tropic.kmz/Lugares temporales/Mexico,-104.048779752000002,18.922561105000000,Tropical Eastern Pacific (TEP),Mexico,"Marshes, Estuary, Coastal lagoon, Beach Ridges (Swales)",Magnetic properties,2017.000000000000000,"(Bógalo et al., 2017)","Bógalo, M.F., Ramirez-Herrera, M.T., Goguitchaichvili, A., Rey, D., Mohamed, K.J., Calvo-Rathert, M., Corona, N.","Magnetic signature of the 22 June 1932 tsunami deposits (Jalisco, Mexican Pacific coast).",0
13,0,Shaw and Benson 2015,Tropic.kmz/Lugares temporales/Mexico,-87.305483527999996,20.411316613000000,Tropical Eastern Pacific (TEP),Mexico,Back barrier,Stratigraphy,2015.000000000000000,"(Shaw and Benson, 2015)","Shaw, C.E., Benson, L.",Possible Tsunami Deposits on the Caribbean Coast of the Yucatán Peninsula,0
14,0,Rajendran 2013 (Campbell Bay),Tropic.kmz/Lugares temporales/India,93.884533947999998,6.880715035000000,Indian Ocean (IO),India,Channel Inlets,"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
15,0,Rajendran 2013 (Car Nicobar),Tropic.kmz/Lugares temporales/India,92.723164803000003,9.170090263000001,Indian Ocean (IO),India,Beach ridge (Swale),"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
16,0,Rajendran 2013 (Hut Bay),Tropic.kmz/Lugares temporales/India,92.547114620000002,10.587329949000001,Indian Ocean (IO),India,Terrace,"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
17,0,Rajendran 2013 (Port Blair),Tropic.kmz/Lugares temporales/India,92.736990457999994,11.580367887000000,Indian Ocean (IO),India,Beach,"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
18,0,Rajendran 2013 (Panchavadi),Tropic.kmz/Lugares temporales/India,92.955426622000004,12.595550756000000,Indian Ocean (IO),India,Back barrier,"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
19,0,Rajendran 2013 (Interview Island),Tropic.kmz/Lugares temporales/India,92.666234613000000,12.799822857000001,Indian Ocean (IO),India,Beach ridge (Swale),"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
20,0,Rajendran 2013 (Diglipur),Tropic.kmz/Lugares temporales/India,93.011745908999998,13.274527468000000,Indian Ocean (IO),India,Beach ridge (Swale),"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
21,0,Rajendran 2013 (East Island),Tropic.kmz/Lugares temporales/India,93.048327051000001,13.625458185999999,Indian Ocean (IO),India,Beach ridge (Swale),"Stratigraphy, Gastropods, Grain Size.",2013.000000000000000,"(Rajendran et al., 2013)","Rajendran, C.P., Rajendran, K., Andrade, V., Srinivasalu, S.",Ages and relative sizes of pre-2004 tsunamis in the Bay of Bengal inferred from geologic evidence in the Andaman and Nicobar Islands,0
22,0,Sangode and Meshram 2013 (Dive Agar),Tropic.kmz/Lugares temporales/India,72.978904405999998,18.191970295000001,Indian Ocean (IO),India,Swamp,"Grain Size, Mineralogy (Provenance), Stratigraphy",2013.000000000000000,"(Sangode and Meshram, 2013)","Sangode, S.J., Meshram, D.C.", A comparative study on the style of paleotsunami deposits at two sites on the west coast of India.,0
23,0,Sangode and Meshram 2013 (Duhagar),Tropic.kmz/Lugares temporales/India,73.181945619999993,17.503170438000001,Indian Ocean (IO),India,Littoral Bar,"Grain Size, Mineralogy (Provenance), Stratigraphy",2013.000000000000000,"(Sangode and Meshram, 2013)","Sangode, S.J., Meshram, D.C.", A comparative study on the style of paleotsunami deposits at two sites on the west coast of India.,0
24,0,Malik 2011,Tropic.kmz/Lugares temporales/India,92.683876521000002,11.662481443000001,Indian Ocean (IO),India,Beach ridge (Swales),Grain Size and Diatoms,2011.000000000000000,"(Malik et al., 2011)","Malik, J.N., Shishikura, M., Echigo, T., Ikeda, Y., Satake, K., Kayanne, H., Sawai, Y., Murty, C.V.R., Dikshit, O., Islands, A., Sumatra-, A.D.","Geologic evidence for two pre-2004 earthquakes during recent centuries near Port Blair, South Andaman Island, India",0
25,0,Elakkiya 2013,Tropic.kmz/Lugares temporales/India,79.853333332999995,10.622500000000000,Indian Ocean (IO),India,Coastal plain,"Carbonates, organic content, grain Size, foraminifera, and ostracods",2013.000000000000000,"(Elakkiya et al., 2013)","Elakkiya, P., Hussain, S.M., Elumalai, K.","Distribution of Foraminifera and Ostracoda in the Kameshwaram Coast , Nagapattinam , South India : Implications for Recognition of Overwash / Extreme Wave Event Deposits, in: Ramkumar, M. (Ed.), On a Sustainable Future of the Earth’s Natural Resource",0
26,0,Andrade 2014,Tropic.kmz/Lugares temporales/India,92.726608562999999,11.542242310000001,Indian Ocean (IO),India,Beach ridge (Swales),"Grain Size, geomorphology",2014.000000000000000,"(Andrade et al., 2014)","Andrade, V., Rajendran, K., Rajendran, C.P",Sheltered coastal environments as archives of paleo-tsunami deposits: Observations from the 2004 Indian Ocean tsunami,0
27,0,Collimpur - Johnson 2021,Tropic.kmz/Lugares temporales/India,92.595750267000000,11.699406679999999,Indian Ocean (IO),India,Beach ridge (Swales),"Stratigraphic, Foraminifera",2021.000000000000000,"(Johnson et al., 2021)","Johnson, F.C., Malik, J.N., Kathal, P.K., Khan, A.","Foraminiferal Assemblages of Inferred Onshore Paleotsunami Deposits in Southwestern Andaman Islands, India",0
